年月,洲別,國家,排名總計,保費收入總計_百萬美元,占有率總計,財產保險業排名,財產保險業保費收入_百萬美元,財產保險業占有率,人身保險業排名,人身保險業保費收入_百萬美元,人身保險業占有率,公告日期
2017,大洋洲 Oceania,澳洲  Australia,13,80062,1.64,10,47893,2.14,17,32169,1.21,20201005
2017,北美洲  North America,美國   U.S.,1,1377115,28.15,1,830315,37.16,1,546800,20.58,20201005
2017,北美洲 North America,加拿大  Canada,9,119519,2.44,8,67927,3.04,12,51592,1.94,20201005
2017,亞洲  Asia,中國大陸PR China,2,541446,11.07,2,223876,10.02,2,317570,11.95,20201005
2017,亞洲 Asia,日本   Japan,3,422050,8.63,4,114818,5.14,3,307232,11.56,20201005
2017,亞洲 Asia,台灣 Taiwan,10,117475,2.4,16,18873,0.84,8,98602,3.71,20201005
2017,亞洲 Asia,印度 India,11,98004,2,15,24764,1.11,10,73240,2.76,20201005
2017,亞洲 Asia,南韓  South Korea,7,181217,3.7,7,78378,3.51,7,102839,3.87,20201005
2017,亞洲 Asia,香港 Hong Kong,17,61285,1.25,22,11477,0.51,13,49808,1.87,20201005
2017,非洲  Africa,南非 South Africa,19,47796,0.98,27,9510,0.43,15,38286,1.44,20201005
2017,南美洲 South America,巴西  Brazil,12,83315,1.7,13,36441,1.63,14,46874,1.76,20201005
2017,歐洲  Europe,西班牙 Spain,15,70547,1.44,12,37331,1.67,16,33216,1.25,20201005
2017,歐洲  Europe,法國  France,5,241603,4.94,6,88083,3.94,5,153520,5.78,20201005
2017,歐洲  Europe,英國   U.K.,4,283332,5.79,5,93499,4.18,4,189833,7.14,20201005
2017,歐洲  Europe,荷蘭 Netherlands,14,79014,1.62,9,63404,2.84,27,15610,0.59,20201005
2017,歐洲  Europe,愛爾蘭 Ireland,16,64306,1.31,30,8626,0.39,11,55680,2.1,20201005
2017,歐洲  Europe,瑞士 Switzerland,18,57904,1.18,14,27960,1.25,18,29944,1.13,20201005
2017,歐洲  Europe,瑞典  Sweden,20,36580,0.75,26,9744,0.44,19,26836,1.01,20201005
2017,歐洲  Europe,義大利  Italy,8,155509,3.18,11,41562,1.86,6,113947,4.29,20201005
2017,歐洲  Europe,德國  Germany,6,222978,4.56,3,126005,5.64,9,96973,3.65,20201005
2018,大洋洲 Oceania,澳洲 Australia,13,79098,1.52,10,48983,2.06,18,30115,1.07,20201005
2018,北美洲 North America,加拿大 Canada,9,127903,2.46,8,73833,3.11,13,54070,1.92,20201005
2018,北美洲 North America,美國 U.S.,1,1469375,28.29,1,875984,36.91,1,593391,21.04,20201005
2018,亞洲 Asia,中國大陸PR China,2,574877,11.07,2,261512,11.02,3,313365,11.11,20201005
2018,亞洲 Asia,日本 Japan,3,440648,8.49,4,106405,4.48,2,334243,11.85,20201005
2018,亞洲 Asia,台灣 Taiwan,10,121908,2.35,16,19864,0.84,7,102044,3.62,20201005
2018,亞洲 Asia,印度 India,11,99837,1.92,15,26102,1.1,10,73735,2.61,20201005
2018,亞洲 Asia,南韓 South Korea,7,179023,3.45,7,80951,3.41,8,98072,3.48,20201005
2018,亞洲 Asia,香港 Hong Kong,17,65912,1.27,42,4899,0.21,12,61013,2.16,20201005
2018,非洲 Africa,南非 South Africa,19,48269,0.93,25,9794,0.41,15,38475,1.36,20201005
2018,南美洲 South America,巴西 Brazil,16,72840,1.4,13,33589,1.42,14,39251,1.39,20201005
2018,歐洲 Europe,比利時 Belgium,20,37252,0.72,17,18540,0.78,24,18712,0.66,20201005
2018,歐洲 Europe,西班牙 Spain,14,74063,1.43,12,39945,1.68,16,34118,1.21,20201005
2018,歐洲 Europe,法國 France,5,257963,4.97,6,92888,3.91,5,165075,5.85,20201005
2018,歐洲 Europe,英國 U.K.,4,336510,6.48,5,101009,4.26,4,235501,8.35,20201005
2018,歐洲 Europe,荷蘭 Netherlands,12,84348,1.62,9,68605,2.89,26,15743,0.56,20201005
2018,歐洲 Europe,愛爾蘭 Ireland,15,73162,1.41,26,9738,0.41,11,63424,2.25,20201005
2018,歐洲 Europe,瑞士 Switzerland,18,59384,1.14,14,28940,1.22,17,30444,1.08,20201005
2018,歐洲 Europe,義大利 Italy,8,170274,3.28,11,44933,1.89,6,125341,4.44,20201005
2018,歐洲 Europe,德國 Germany,6,241485,4.65,3,145046,6.11,9,96439,3.42,20201005
2019,大洋洲 Oceania,澳洲 Australia,17,69842,1.11,10,47667,1.41,18,22175,0.76,20201005
2019,北美洲 North America,加拿大 Canada,9,133157,2.12,8,79840,2.36,13,53317,1.83,20201005
2019,北美洲 North America,美國 U.S.,1,2460123,39.1,1,1831601,54.25,1,628522,21.55,20201005
2019,亞洲 Asia,中國大陸PR China,2,617399,9.81,2,287967,8.53,3,329432,11.3,20201005
2019,亞洲 Asia,日本 Japan,3,459347,7.3,4,118019,3.5,2,341328,11.7,20201005
2019,亞洲 Asia,台灣 Taiwan,10,117824,1.87,16,20401,0.6,7,97423,3.34,20201005
2019,亞洲 Asia,印度 India,11,106308,1.69,15,26637,0.79,10,79671,2.73,20201005
2019,亞洲 Asia,南韓 South Korea,7,174520,2.77,7,80037,2.37,8,94483,3.24,20201005
2019,亞洲 Asia,香港 Hong Kong,15,72253,1.15,40,5413,0.16,12,66840,2.29,20201005
2019,非洲 Africa,南非 South Africa,19,47093,0.75,28,9368,0.28,15,37725,1.29,20201005
2019,南美洲 South America,巴西 Brazil,13,74106,1.18,13,32803,0.97,14,41303,1.42,20201005
2019,歐洲 Europe,西班牙 Spain,16,71755,1.14,12,40193,1.19,16,31562,1.08,20201005
2019,歐洲 Europe,法國 France,5,262282,4.17,6,94694,2.8,5,167588,5.75,20201005
2019,歐洲 Europe,英國 U.K.,4,366243,5.82,5,102022,3.02,4,264221,9.06,20201005
